[2024-10-04T23:17:28.422+0000] {logging_mixin.py:190} INFO - R$ 619,90
[2024-10-04T23:17:28.422+0000] {logging_mixin.py:190} INFO - R$ 2.239,99
[2024-10-04T23:17:28.423+0000] {logging_mixin.py:190} INFO - R$ 399,99
[2024-10-04T23:17:28.424+0000] {logging_mixin.py:190} INFO - R$ 437,89
[2024-10-04T23:17:28.424+0000] {logging_mixin.py:190} INFO - R$ 599,99
[2024-10-04T23:17:28.425+0000] {logging_mixin.py:190} INFO - R$ 1.084,99
[2024-10-04T23:17:28.425+0000] {logging_mixin.py:190} INFO - R$ 1.379,99
[2024-10-04T23:17:28.426+0000] {logging_mixin.py:190} INFO - R$ 509,00
[2024-10-04T23:17:28.426+0000] {logging_mixin.py:190} INFO - R$ 824,99
[2024-10-04T23:17:28.427+0000] {logging_mixin.py:190} INFO - R$ 1.954,99
[2024-10-04T23:17:28.428+0000] {logging_mixin.py:190} INFO - R$ 549,10
[2024-10-04T23:17:28.428+0000] {logging_mixin.py:190} INFO - R$ 1.399,99
[2024-10-04T23:17:28.429+0000] {logging_mixin.py:190} INFO - R$ 1.189,99
[2024-10-04T23:17:28.429+0000] {logging_mixin.py:190} INFO - R$ 609,99
[2024-10-04T23:17:28.430+0000] {logging_mixin.py:190} INFO - R$ 2.194,99
[2024-10-04T23:17:28.431+0000] {logging_mixin.py:190} INFO - R$ 1.699,99
[2024-10-04T23:17:28.431+0000] {logging_mixin.py:190} INFO - R$ 1.228,44
[2024-10-04T23:17:28.432+0000] {logging_mixin.py:190} INFO - R$ 685,99
[2024-10-04T23:17:28.432+0000] {logging_mixin.py:190} INFO - R$ 1.294,99
[2024-10-04T23:17:28.433+0000] {logging_mixin.py:190} INFO - R$ 499,99
[2024-10-04T23:17:28.434+0000] {logging_mixin.py:190} INFO - R$ 540,00
[2024-10-04T23:17:28.434+0000] {logging_mixin.py:190} INFO - R$ 1.969,99
[2024-10-04T23:17:28.435+0000] {logging_mixin.py:190} INFO - R$ 1.887,10
[2024-10-04T23:17:28.436+0000] {logging_mixin.py:190} INFO - R$ 470,85
[2024-10-04T23:17:28.436+0000] {logging_mixin.py:190} INFO - R$ 759,90
[2024-10-04T23:17:28.437+0000] {logging_mixin.py:190} INFO - R$ 769,99
[2024-10-04T23:17:28.438+0000] {logging_mixin.py:190} INFO - R$ 689,99
[2024-10-04T23:17:28.438+0000] {logging_mixin.py:190} INFO - R$ 1.149,99
[2024-10-04T23:17:28.439+0000] {logging_mixin.py:190} INFO - R$ 939,99
[2024-10-04T23:17:28.439+0000] {logging_mixin.py:190} INFO - R$ 934,99
[2024-10-04T23:17:28.440+0000] {logging_mixin.py:190} INFO - R$ 1.169,99
[2024-10-04T23:17:28.441+0000] {logging_mixin.py:190} INFO - R$ 1.449,99
[2024-10-04T23:17:28.441+0000] {logging_mixin.py:190} INFO - R$ 2.194,99
[2024-10-04T23:17:28.442+0000] {logging_mixin.py:190} INFO - R$ 499,90
[2024-10-04T23:17:28.443+0000] {logging_mixin.py:190} INFO - R$ 1.509,99
[2024-10-04T23:17:28.443+0000] {logging_mixin.py:190} INFO - R$ 517,85
[2024-10-04T23:17:28.444+0000] {logging_mixin.py:190} INFO - R$ 1.149,99
[2024-10-04T23:17:28.445+0000] {logging_mixin.py:190} INFO - R$ 1.594,99
[2024-10-04T23:17:28.445+0000] {logging_mixin.py:190} INFO - R$ 3.224,99
[2024-10-04T23:17:28.446+0000] {logging_mixin.py:190} INFO - R$ 709,99
[2024-10-04T23:17:28.446+0000] {logging_mixin.py:190} INFO - R$ 338,44
