[2024-10-04T23:57:32.793+0000] {logging_mixin.py:190} INFO - R$ 809,99
[2024-10-04T23:57:32.794+0000] {logging_mixin.py:190} INFO - R$ 619,90
[2024-10-04T23:57:32.794+0000] {logging_mixin.py:190} INFO - R$ 2.239,99
[2024-10-04T23:57:32.795+0000] {logging_mixin.py:190} INFO - R$ 399,99
[2024-10-04T23:57:32.796+0000] {logging_mixin.py:190} INFO - R$ 437,89
[2024-10-04T23:57:32.796+0000] {logging_mixin.py:190} INFO - R$ 599,99
[2024-10-04T23:57:32.797+0000] {logging_mixin.py:190} INFO - R$ 1.084,99
[2024-10-04T23:57:32.798+0000] {logging_mixin.py:190} INFO - R$ 1.379,99
[2024-10-04T23:57:32.798+0000] {logging_mixin.py:190} INFO - R$ 509,00
[2024-10-04T23:57:32.799+0000] {logging_mixin.py:190} INFO - R$ 824,99
[2024-10-04T23:57:32.800+0000] {logging_mixin.py:190} INFO - R$ 1.954,99
[2024-10-04T23:57:32.800+0000] {logging_mixin.py:190} INFO - R$ 549,10
[2024-10-04T23:57:32.801+0000] {logging_mixin.py:190} INFO - R$ 1.399,99
[2024-10-04T23:57:32.802+0000] {logging_mixin.py:190} INFO - R$ 1.189,99
[2024-10-04T23:57:32.802+0000] {logging_mixin.py:190} INFO - R$ 609,99
[2024-10-04T23:57:32.803+0000] {logging_mixin.py:190} INFO - R$ 2.194,99
[2024-10-04T23:57:32.804+0000] {logging_mixin.py:190} INFO - R$ 1.699,99
[2024-10-04T23:57:32.804+0000] {logging_mixin.py:190} INFO - R$ 1.228,44
[2024-10-04T23:57:32.805+0000] {logging_mixin.py:190} INFO - R$ 685,99
[2024-10-04T23:57:32.806+0000] {logging_mixin.py:190} INFO - R$ 1.294,99
[2024-10-04T23:57:32.806+0000] {logging_mixin.py:190} INFO - R$ 499,99
[2024-10-04T23:57:32.807+0000] {logging_mixin.py:190} INFO - R$ 540,00
[2024-10-04T23:57:32.808+0000] {logging_mixin.py:190} INFO - R$ 1.969,99
[2024-10-04T23:57:32.808+0000] {logging_mixin.py:190} INFO - R$ 1.887,10
[2024-10-04T23:57:32.809+0000] {logging_mixin.py:190} INFO - R$ 470,85
[2024-10-04T23:57:32.809+0000] {logging_mixin.py:190} INFO - R$ 759,90
[2024-10-04T23:57:32.810+0000] {logging_mixin.py:190} INFO - R$ 769,99
