[2024-10-01T17:57:34.829+0000] {logging_mixin.py:190} INFO - /produto/151573/placa-mae-asus-prime-h510m-a-intel-socket-lga1200-microatx-ddr4
[2024-10-01T17:57:34.830+0000] {logging_mixin.py:190} INFO - /produto/419108/placa-mae-gigabyte-b760m-aorus-elite-rev-1-0-lga-1700-ddr5
[2024-10-01T17:57:34.831+0000] {logging_mixin.py:190} INFO - /produto/448251/placa-mae-gigabyte-a520m-k-v2-rev-1-0-amd-micro-atx-ddr4-a520m-k-v2
[2024-10-01T17:57:34.831+0000] {logging_mixin.py:190} INFO - /produto/524349/placa-mae-msi-pro-b760m-e-intel-lga-1700-m-atx-dd4-pro-b760m-e-ddr4
[2024-10-01T17:57:34.832+0000] {logging_mixin.py:190} INFO - /produto/582110/placa-mae-gigabyte-h610m-h-v3-intel-lga-1700-m-atx-ddr4-m-2
[2024-10-01T17:57:34.832+0000] {logging_mixin.py:190} INFO - /produto/165124/placa-mae-asus-tuf-gaming-a520m-plus-wifi-amd-am4-matx-ddr4-rgb-90mb17f0-m0eay0
[2024-10-01T17:57:34.833+0000] {logging_mixin.py:190} INFO - /produto/523144/placa-mae-asus-tuf-gaming-b760m-plus-wifi-ii-intel-ddr5-90mb1he0-m0eay0
[2024-10-01T17:57:34.834+0000] {logging_mixin.py:190} INFO - /produto/461376/placa-mae-asus-tuf-gaming-a620m-plus-amd-am5-matx-ddr5-90mb1ez0-m0eay0
[2024-10-01T17:57:34.834+0000] {logging_mixin.py:190} INFO - /produto/392611/placa-mae-b650-msi-mag-tomahawk-wi-fi-amd-am5-atx-ddr5-mag-b650-tomahawk-wifi
[2024-10-01T17:57:34.835+0000] {logging_mixin.py:190} INFO - /produto/229919/placa-mae-gigabyte-b550m-aorus-elite-amd-am4-micro-atx-ddr4
[2024-10-01T17:57:34.836+0000] {logging_mixin.py:190} INFO - /produto/524344/placa-mae-msi-pro-a620m-e-amd-am5-m-atx-ddr5-pro-a620m-e
[2024-10-01T17:57:34.837+0000] {logging_mixin.py:190} INFO - /produto/548936/placa-mae-asus-tuf-gaming-b760m-e-d4-intel-m-atx-ddr4-90mb1e90-m0eay0
[2024-10-01T17:57:34.837+0000] {logging_mixin.py:190} INFO - /produto/321070/placa-mae-asus-prime-h610m-e-d4-intel-lga-1700-matx-ddr4
[2024-10-01T17:57:34.838+0000] {logging_mixin.py:190} INFO - /produto/457817/placa-mae-gigabyte-h410m-h-v2-intel-micro-atx-ddr4-h410m-h-v2
[2024-10-01T17:57:34.839+0000] {logging_mixin.py:190} INFO - /produto/524359/placa-mae-msi-pro-h610m-e-ddr4-intel-lga-1700-m-atx-ddr4-pro-h610m-e-ddr4
